Version,Ambassador commit,Envoy image
0.19.3,v0.19.3,datawire/ambassador-envoy:vtest_docs_tag3-60-gb2629d084
0.20.0,v0.20.0,datawire/ambassador-envoy:v1.5.0-47-g6b197c85c
0.20.1,v0.20.1,datawire/ambassador-envoy:v1.5.0-47-g6b197c85c
0.21.0,v0.21.0,datawire/ambassador-envoy:v1.5.0-47-g6b197c85c
0.21.1,v0.21.1,datawire/ambassador-envoy:v1.5.0-47-g6b197c85c
0.21.2,v0.21.2,datawire/ambassador-envoy:v1.5.0-47-g6b197c85c
,7fc4178,datawire/ambassador-envoy-alpine:ambassador-envoy-v1.5.0-47-g6b197c85c-68-g3e4bfeb1d
0.22.0,v0.22.0,datawire/ambassador-envoy-alpine:v1.5.0-116-g7ccb25882
0.22.1,v0.22.1,datawire/ambassador-envoy-alpine:v1.5.0-116-g7ccb25882
,eac03c8,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.5.0-231-g27a506c85
0.22.2,v0.22.2,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.23.0,v0.23.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.23.1,v0.23.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.24.0,v0.24.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.25.0,v0.25.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.26.0,v0.26.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.26.1,v0.26.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.27.0,v0.27.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.28.0,v0.28.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.28.1,v0.28.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.28.2,v0.28.2,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.29.0,v0.29.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.29.1,v0.29.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.30.0,v0.30.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.30.1,v0.30.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.30.2,v0.30.2,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.31.0,v0.31.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.32.0,v0.32.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.32.1,v0.32.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.32.2,v0.32.2,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc0,0.33.0-rc0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc1,0.33.0-rc1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc2,0.33.0-rc2,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc3,0.33.0-rc3,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc4,0.33.0-rc4,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc5,0.33.0-rc5,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc6,0.33.0-rc6,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc7,0.33.0-rc7,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc8,0.33.0-rc8,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc9,0.33.0-rc9,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc10,0.33.0-rc10,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0,0.33.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.1-rc0,0.33.1-rc0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.1,0.33.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.0-rc0,0.34.0-rc0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.0-rc1,0.34.0-rc1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.0-rc2,0.34.0-rc2,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.0,0.34.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.1-rc0,0.34.1-rc0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.1-rc1,0.34.1-rc1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.1-rc2,0.34.1-rc2,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.1-rc3,0.34.1-rc3,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.1-rc4,0.34.1-rc4,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.1,0.34.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.2-rc0,0.34.2-rc0,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.2-rc1,0.34.2-rc1,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.2-rc2,0.34.2-rc2,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.2-rc3,0.34.2-rc3,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.2-rc4,0.34.2-rc4,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.2-rc5,0.34.2-rc5,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.2,0.34.2,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.3-rc1,0.34.3-rc1,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.3,0.34.3,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.4-rc1,0.34.4-rc1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.4-rc2,0.34.4-rc0,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.4-rc3,0.34.4-rc3,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.4-rc4,0.34.4-rc4,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.4-rc5,0.34.4-rc5,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.4-rc6,0.34.0-rc6,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.4-rc7,0.34.0-rc7,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0-rc0,0.35.0-rc0,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0-rc1,0.35.0-rc1,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0-rc-ignore,0.35.0-rc-ignore,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0-rc2,0.35.0-rc2,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0-rc3,0.35.0-rc3,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0-rc4,0.35.0-rc4,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0-rc5,0.35.0-rc5,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0,0.35.0,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.1-rc0,0.35.1-rc0,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.1-rc2,0.35.1-rc2,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.1-rc3,0.35.1-rc3,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.1-rc4,0.35.1-rc4,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.1,0.35.1,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.2-rc0,0.35.2-rc0,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.2-rc1,0.35.2-rc1,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.2-rc3,0.35.2-rc3,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.2,0.35.2,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.3-rc0,0.35.3-rc0,datawire/ambassador-envoy-alpine-stripped:v1.7.0-59-g07c6a004
0.35.3-rc1,0.35.3-rc1,datawire/ambassador-envoy-alpine-stripped:v1.7.0-59-g07c6a004
0.35.3-rc2,0.35.3-rc2,datawire/ambassador-envoy-alpine-stripped:v1.7.0-59-g07c6a004
0.35.3,0.35.3,datawire/ambassador-envoy-alpine-stripped:v1.7.0-59-g07c6a004
0.36.0-unstable-rc0,0.36.0-unstable-rc0,datawire/ambassador-envoy-alpine-stripped:v1.7.0-59-g07c6a004
0.36.0-rc0,0.36.0-rc0,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.36.0-rc1,0.36.0-rc1,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.36.0-rc2,0.36.0-rc2,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.36.0,0.36.0,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.36.1-unstable-rc0,0.36.1-unstable-rc0,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.37.0-rc0,0.37.0-rc0,quay.io/datawire/ambassador-envoy:v1.7.0-235-gaf17ea9a-alpine-stripped
0.37.0-rc1,0.37.0-rc1,quay.io/datawire/ambassador-envoy:v1.7.0-235-gaf17ea9a-alpine-stripped
0.37.0-rc2,0.37.0-rc2,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.37.0-rc3,0.37.0-rc3,quay.io/datawire/ambassador-envoy:v1.7.0-235-gaf17ea9a-alpine-stripped
0.37.0-rc4,0.37.0-rc4,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.37.0,0.37.0,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.37.1-rc0,0.37.1-rc0,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.37.1-rc1,0.37.1-rc1,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.37.1-rc2,0.37.1-rc2,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.37.1-rc3,0.37.1-rc3,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.37.1-rc4,0.37.1-rc4,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.37.1-rc5,0.37.1-rc5,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.38.0-rc0,0.38.0-rc0,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.38.0,0.38.0,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.39.0-rc0,0.39.0-rc0,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.39.0-rc1,0.39.0-rc1,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.39.0-rc2,0.39.0-rc2,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.39.0-rc3,0.39.0-rc3,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.39.0-rc4,0.39.0-rc4,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.39.0,0.39.0,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.40.0-rc1,0.40.0-rc1,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.40.0,0.40.0,quay.io/datawire/ambassador-envoy:v1.7.0-64-g09ba72b1-alpine-stripped
0.40.1-rc1,0.40.1-rc1,quay.io/datawire/ambassador-envoy:v1.7.0-65-ga22b2f14-alpine-stripped
0.40.1-rc2,0.40.1-rc2,quay.io/datawire/ambassador-envoy:v1.7.0-66-g5f795fe2-alpine-stripped
0.40.1,0.40.1,quay.io/datawire/ambassador-envoy:v1.7.0-66-g5f795fe2-alpine-stripped
0.40.2-rc0,0.40.2-rc0,quay.io/datawire/ambassador-envoy:v1.7.0-66-g5f795fe2-alpine-stripped
0.40.2,0.40.2,quay.io/datawire/ambassador-envoy:v1.7.0-66-g5f795fe2-alpine-stripped
0.50.0-rc0,0.50.0-rc0,envoyproxy/envoy-alpine:26e2a31650fe14db7e55a3136f9ae75db667bf5c
0.50.0-tt1,0.50.0-tt1,envoyproxy/envoy-alpine:26e2a31650fe14db7e55a3136f9ae75db667bf5c
0.50.0-tt2,0.50.0-tt2,envoyproxy/envoy-alpine:26e2a31650fe14db7e55a3136f9ae75db667bf5c
0.50.0-tt3,0.50.0-tt3,envoyproxy/envoy-alpine:26e2a31650fe14db7e55a3136f9ae75db667bf5c
0.50.0-tt4,0.50.0-tt4,envoyproxy/envoy-alpine:26e2a31650fe14db7e55a3136f9ae75db667bf5c
0.50.0-tt5,0.50.0-tt5,envoyproxy/envoy-alpine:26e2a31650fe14db7e55a3136f9ae75db667bf5c
0.50.0-ea1,0.50.0-ea1,envoyproxy/envoy-alpine:26e2a31650fe14db7e55a3136f9ae75db667bf5c
0.50.0-ea2,0.50.0-ea2,envoyproxy/envoy-alpine:26e2a31650fe14db7e55a3136f9ae75db667bf5c
0.50.0-ea3,0.50.0-ea3,envoyproxy/envoy-alpine:26e2a31650fe14db7e55a3136f9ae75db667bf5c
0.50.0-ea4,0.50.0-ea4,envoyproxy/envoy-alpine:v1.8.0
,2ec2671,envoyproxy/envoy-alpine:latest
0.50.0-ea5,0.50.0-ea5,envoyproxy/envoy-alpine:v1.8.0
,f95b8dc,quay.io/datawire/interdax-envoy-alpine:latest
0.50.0-ea6,0.50.0-ea6,envoyproxy/envoy-alpine:f71a883b557a18cc418d4103b2f07a6780fc6576
0.50.0-ea7,0.50.0-ea7,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316
0.50.0-ea7-1,0.50.0-ea7-1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316
0.50.0-ea7-2,0.50.0-ea7-2,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316
0.50.0-rc1,0.50.0-rc1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316
0.50.0-rc2,0.50.0-rc2,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316
0.50.0-rc3,0.50.0-rc3,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316
0.50.0-rc4,0.50.0-rc4,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316
,ec5eb9c,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-878705f86c
0.50.0-rc5,0.50.0-rc5,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-g14e2c65bb
0.50.0-rc6,0.50.0-rc6,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-g523a9e31d
0.50.0-rc7,0.50.0-rc7,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-g523a9e31d
0.50.0-rc8,0.50.0-rc8,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-g523a9e31d
0.50.0,0.50.0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-g523a9e31d
0.50.1-rc1,0.50.1-rc1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-g14e2c65bb
0.50.1-rc2,0.50.1-rc2,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-g14e2c65bb
0.50.1,0.50.1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-g14e2c65bb
0.50.2-rc0,0.50.2-rc0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-7-g4db17d1fb
0.50.2,0.50.2,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-7-g4db17d1fb
0.50.3-rc0,0.50.3-rc0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-7-g4db17d1fb
0.50.3,0.50.3,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-7-g4db17d1fb
0.51.0-rc0,0.51.0-rc0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-7-g4db17d1fb
0.51.0-rc1,0.51.0-rc1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-9-gf60eead70
0.51.0,0.51.0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-9-gf60eead70
0.51.1-rc0,0.51.1-rc0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-9-gf60eead70
0.51.1,0.51.1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-9-gf60eead70
0.51.2-rc0,0.51.2-rc0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-9-gf60eead70
0.51.2,0.51.2,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-9-gf60eead70
0.52.0-rc1,0.52.0-rc1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-15-ga0d95bafb
0.52.0-rc2,0.52.0-rc2,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-15-ga0d95bafb
0.52.0-rc3,0.52.0-rc3,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-15-ga0d95bafb
0.52.0,0.52.0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-15-ga0d95bafb
0.52.1-rc1,0.52.1-rc1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-15-ga0d95bafb
0.52.1-rc2,0.52.1-rc2,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-15-ga0d95bafb
0.52.1,0.52.1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.8.0-15c5befd43fb9ee9b145cc87e507beb801726316-15-ga0d95bafb
,8545cd5,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-604-g251b7d345
,29f7d9a,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-605-g27770bf3d
,9fe0f85,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-617-g39d9a9b43
,8ae72b7,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-618-gecd186005
0.53.0-rc1,0.53.0-rc1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.53.0,0.53.0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.53.1-rc1,0.53.1-rc1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.53.1,0.53.1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.60.0-rc0,0.60.0-rc0,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.60.0-rc1,0.60.0-rc1,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.60.0-rc2,0.60.0-rc2,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
0.60.0-rc3,0.60.0-rc3,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.9.0-619-g5830eaa1d
